,url,segment_no,cumle_icerigi,sözcük_sayisi
77,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,13,Anne sütü başlı başına bebeğin bağışıklık sistemini güçlendirmek için en önemli kaynak.,12
78,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,14,Süt yettiği sürece sadece anne sütü.,6
79,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,15,"Lohusalık dönemi de bağışıklık sisteminin baskılanmış olduğu dönem bu dönemde annelerin beslenmesine uyku düzenine dikkat etmeleri, güzel beslenmeleri ve egzersiz yapmaları çok önemli” şeklinde konuştu.“Bebeğimizin sağlığı için çok güzel”Yeni doğum yapan Kübra Tekoluk, da siperlik uygulamasını güzel bulduğunu ifade ederek, “Günümüzde korona virüsle uğraştığımız bu dönemde bebeğimin sağlığı için çok önemli olduğunu düşünüyorum.",53
80,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,16,"Sadece hastanede değil de aşılarına, takiplerine geldiğimde de kullanabileceğim için çok memnunum.",12
81,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,17,Hastanemize çok teşekkür ederim.,4
82,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,18,"Bebeğimizin sağlığı için çok güzel, çok ince bir düşünce.",9
83,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,19,Sağlık çalışanlarımıza minnettarız” ifadelerini kullandı.Neşra Durmaz - Bayram Türüdü,9
84,https://www.iha.com.tr/haber-epilepsi-nobeti-geciren-vatandasin-yardimina-astsubay-kostu-843787/,0,"Epilepsi rahatsızlığı yaşayan Mustafa Kezmez, Alaybey Mahallesine gitmek üzere yeni otogar kavşağında araba beklemek için durdu.",16
85,https://www.iha.com.tr/haber-epilepsi-nobeti-geciren-vatandasin-yardimina-astsubay-kostu-843787/,1,"Birkaç dakika sonra nöbet geçiren Kezmez, bir anda yere yığıldı.",10
86,https://www.iha.com.tr/haber-epilepsi-nobeti-geciren-vatandasin-yardimina-astsubay-kostu-843787/,2,"O sırada yoldan geçerken duran bir askeri araçtan inen astsubay, yerde yatan adama ilk müdahaleyi yaptı.",16
